city,state,year,crime_type,reported_cases,solved_cases,unsolved_cases,Monetary Loss (INR),Victim Age,Victim Gender,Victim Profession,population,literacy_rate,internet_penetration,unemployment_rate
Agra,Uttar Pradesh,2023,Data Breach,333,152,181,4568744.42,44,Other,Freelancer,7354616,62.18,76.44,11.54
Kolkata,West Bengal,2023,Identity Theft,270,73,197,2297492.16,66,Female,Government Employee,10117116,92.33,67.77,5.88
Howrah,West Bengal,2024,Financial Fraud,186,173,13,3202052.7,50,Other,Unemployed,7401533,82.24,68.42,9.12
Durgapur,West Bengal,2024,Identity Theft,280,52,228,4602638.4,57,Other,Business,4307525,93.05,61.44,9.11
Asansol,West Bengal,2023,Hacking,219,29,190,3139105.14,44,Female,Student,10681522,73.85,35.95,9.17
Siliguri,West Bengal,2023,Identity Theft,421,49,372,264673.23,34,Other,Engineer,18921112,78.24,77.71,8.06
Ahmedabad,Gujarat,2023,Financial Fraud,54,23,31,2796306.69,53,Male,Engineer,16424496,62.52,60.17,10.34
Surat,Gujarat,2024,Hacking,472,4,468,4127079.06,61,Male,Freelancer,17062510,67.48,37.01,9.58
Vadodara,Gujarat,2022,Online Harassment,105,7,98,1982217.86,38,Other,Engineer,3288772,74.13,76.09,6.81
Rajkot,Gujarat,2024,Phishing,185,68,117,1271513.18,63,Male,Freelancer,18562928,87.55,74.07,9.75
Bhavnagar,Gujarat,2024,Online Harassment,373,229,144,463630.12,61,Male,Doctor,8347425,66.06,72.38,2.32
Jaipur,Rajasthan,2024,Hacking,410,126,284,673733.95,43,Female,Doctor,4090897,92.84,44.41,2.36
Jodhpur,Rajasthan,2022,Online Harassment,270,31,239,1656913.5,60,Female,Teacher,2789396,75.5,76.51,2.79
Udaipur,Rajasthan,2022,Online Harassment,440,202,238,1087181.51,67,Male,Engineer,17666700,84.22,75.72,9.3
Kota,Rajasthan,2022,Financial Fraud,299,275,24,2499928.7,69,Male,Government Employee,720960,83.89,48.05,4.95
Ajmer,Rajasthan,2024,Data Breach,65,13,52,1150613.14,21,Male,Government Employee,9858099,91.57,30.21,11.31
Patna,Bihar,2024,Hacking,108,32,76,4124272.83,30,Female,Student,11526322,69.74,30.38,10.98
Gaya,Bihar,2023,Online Harassment,394,247,147,592366.49,50,Other,Freelancer,4408581,82.05,46.2,6.09
Muzaffarpur,Bihar,2024,Financial Fraud,107,11,96,1513112.73,36,Male,Business,18599194,82.75,76.72,10.31
Bhagalpur,Bihar,2022,Hacking,401,272,129,4258571.98,61,Female,Business,11098024,78.75,33.25,3.32
Purnia,Bihar,2023,Hacking,203,175,28,78665.94,21,Other,Student,14262238,86.51,82.45,3.26
Bhopal,Madhya Pradesh,2022,Hacking,312,98,214,3768184.62,61,Female,Business,9143378,72.28,86.33,9.12
Indore,Madhya Pradesh,2024,Phishing,217,112,105,2469493.79,56,Male,Engineer,310640,89.78,87.99,3.92
Jabalpur,Madhya Pradesh,2023,Data Breach,380,141,239,1511497.79,68,Other,Unemployed,3500631,60.68,70.21,4.56
Gwalior,Madhya Pradesh,2023,Hacking,458,372,86,4986701.54,32,Male,Teacher,15491676,94.42,50.26,8.88
Ujjain,Madhya Pradesh,2024,Hacking,74,39,35,4929314.84,41,Other,Teacher,5615614,65.65,49.95,10.47
Mumbai,Maharashtra,2022,Identity Theft,23,5,18,4787723.76,26,Female,Unemployed,8826418,82.79,68.38,2.07
Pune,Maharashtra,2022,Online Harassment,261,56,205,1137644.86,45,Male,Government Employee,17761969,90.86,82.79,9.12
Nagpur,Maharashtra,2024,Identity Theft,81,20,61,953008.98,20,Other,Doctor,1564585,61.17,48.32,8.34
Nashik,Maharashtra,2022,Online Harassment,78,6,72,979325.32,58,Other,Unemployed,7123726,79.36,52.38,9.68
Thane,Maharashtra,2022,Identity Theft,437,16,421,3979485.76,23,Male,Government Employee,13853308,68.4,41.9,5.78
New Delhi,Delhi,2024,Online Harassment,337,96,241,2065136.1,36,Other,Freelancer,10257134,81.57,66.35,6.8
Dwarka,Delhi,2024,Identity Theft,446,355,91,615353.78,29,Other,Business,9906849,88.05,73.55,4.48
Rohini,Delhi,2022,Ransomware,264,254,10,989953.92,69,Female,Business,5290018,78.96,35.32,8.47
Saket,Delhi,2024,Ransomware,65,50,15,4753915.79,40,Male,Teacher,10096669,66.47,60.73,2.35
Karol Bagh,Delhi,2022,Financial Fraud,183,66,117,3671551.23,39,Other,Doctor,9959507,81.2,57.86,2.06
Bengaluru,Karnataka,2023,Online Harassment,351,293,58,613391.75,58,Other,Business,1110583,93.03,55.72,8.43
Mysuru,Karnataka,2023,Ransomware,190,24,166,4887270.61,42,Female,Business,639233,76.03,78.2,5.48
Mangaluru,Karnataka,2022,Data Breach,143,93,50,2095486.6,67,Other,Teacher,7466510,70.57,66.04,6.22
Hubli,Karnataka,2023,Financial Fraud,181,177,4,2682863.16,24,Other,Teacher,1818781,80.79,89.27,6.87
Belgaum,Karnataka,2022,Identity Theft,300,218,82,2264977.74,62,Female,Freelancer,2860360,65.87,63.87,7.48
Chennai,Tamil Nadu,2022,Data Breach,406,152,254,1328295.01,34,Female,Unemployed,19511878,89.52,64.89,9.38
Coimbatore,Tamil Nadu,2022,Cyberstalking,200,172,28,866785.76,54,Male,Business,7556993,92.4,87.34,9.54
Madurai,Tamil Nadu,2024,Cyberstalking,323,24,299,2620273.88,29,Male,Engineer,13162615,84.09,60.88,6.48
Tiruchirappalli,Tamil Nadu,2023,Online Harassment,408,229,179,2644653.76,42,Other,Unemployed,6741024,64.59,57.45,7.32
Salem,Tamil Nadu,2022,Ransomware,325,129,196,1292534.17,22,Other,Doctor,13266767,86.35,59.89,11.51
Lucknow,Uttar Pradesh,2022,Hacking,361,29,332,3581850.68,36,Male,Unemployed,9047035,93.33,31.26,9.52
Kanpur,Uttar Pradesh,2022,Financial Fraud,308,299,9,2936174.47,60,Other,Government Employee,4122961,89.63,84.91,4.89
Ghaziabad,Uttar Pradesh,2023,Financial Fraud,169,33,136,752208.33,43,Female,Student,10003575,72.53,89.13,10.35
Varanasi,Uttar Pradesh,2024,Identity Theft,446,431,15,4240895.75,47,Other,Teacher,15491590,61.05,36.92,9.43
Agra,Uttar Pradesh,2023,Hacking,359,141,218,1157710.99,20,Other,Engineer,1292749,61.04,68.76,7.82
Kolkata,West Bengal,2022,Online Harassment,215,9,206,4178947.38,22,Male,Government Employee,8759224,83.36,64.17,9.26
Howrah,West Bengal,2024,Hacking,471,91,380,2031722.78,70,Male,Engineer,11288944,61.84,34.28,7.54
Durgapur,West Bengal,2023,Hacking,440,27,413,1379345.22,58,Male,Government Employee,15114408,80.96,88.35,5.22
Asansol,West Bengal,2024,Phishing,435,427,8,1967411.17,24,Other,Doctor,7506283,89.83,64.11,7.01
Siliguri,West Bengal,2024,Hacking,213,159,54,3331008.48,49,Other,Freelancer,9531762,93.81,87.07,8.94
Ahmedabad,Gujarat,2023,Financial Fraud,99,10,89,785645.78,33,Other,Freelancer,1222146,72.26,83.7,4.04
Surat,Gujarat,2023,Phishing,371,200,171,773764.93,24,Male,Government Employee,4722018,73.7,72.72,9.91
Vadodara,Gujarat,2023,Financial Fraud,66,31,35,4238235.69,48,Other,Unemployed,1988704,84.76,58.16,10.95
Rajkot,Gujarat,2023,Cyberstalking,438,317,121,2559193.35,46,Other,Government Employee,10195237,77.63,87.83,9.38
Bhavnagar,Gujarat,2022,Ransomware,140,105,35,633409.17,39,Other,Business,17312417,68.57,78.29,7.13
Jaipur,Rajasthan,2024,Identity Theft,217,184,33,268509.91,42,Female,Government Employee,18635774,92.13,54.82,11.8
Jodhpur,Rajasthan,2023,Identity Theft,128,35,93,1569214.71,43,Female,Teacher,7070062,61.44,68.49,11.32
Udaipur,Rajasthan,2024,Data Breach,74,48,26,3671052.02,30,Other,Freelancer,3795874,82.13,73.28,10.79
Kota,Rajasthan,2023,Cyberstalking,454,429,25,4734402.47,27,Female,Teacher,15130024,85.78,30.51,4.19
Ajmer,Rajasthan,2022,Hacking,47,35,12,2194885.0,49,Other,Student,15354365,69.97,54.19,3.16
Patna,Bihar,2022,Phishing,138,105,33,1722342.23,35,Female,Government Employee,14616106,73.64,71.42,9.49
Gaya,Bihar,2022,Ransomware,109,90,19,2781842.07,63,Male,Teacher,4846937,87.87,78.65,10.85
Muzaffarpur,Bihar,2022,Phishing,473,145,328,4841938.19,26,Male,Student,7797991,77.22,74.97,11.67
Bhagalpur,Bihar,2024,Cyberstalking,472,15,457,1546090.38,49,Female,Teacher,16773103,85.31,84.93,2.93
Purnia,Bihar,2022,Data Breach,181,114,67,4175895.83,51,Other,Teacher,16636677,82.04,72.5,5.47
Bhopal,Madhya Pradesh,2022,Financial Fraud,101,76,25,692702.5,68,Other,Doctor,5243212,91.08,34.08,4.09
Indore,Madhya Pradesh,2022,Online Harassment,174,121,53,4417571.39,60,Male,Government Employee,1706227,92.34,86.21,9.06
Jabalpur,Madhya Pradesh,2024,Financial Fraud,483,41,442,4910745.67,53,Male,Doctor,6636784,90.56,54.69,6.23
Gwalior,Madhya Pradesh,2023,Data Breach,289,75,214,3877080.29,50,Male,Engineer,8055611,79.21,71.26,9.14
Ujjain,Madhya Pradesh,2022,Data Breach,297,101,196,4161450.17,42,Other,Unemployed,6718159,93.05,54.28,4.99
Mumbai,Maharashtra,2022,Online Harassment,265,211,54,428897.15,33,Female,Freelancer,2977038,91.72,73.2,7.36
Pune,Maharashtra,2024,Financial Fraud,340,38,302,107849.32,59,Other,Business,5120992,87.96,83.63,7.79
Nagpur,Maharashtra,2022,Data Breach,42,39,3,2477633.9,47,Other,Government Employee,17586340,94.65,42.62,8.5
Nashik,Maharashtra,2022,Financial Fraud,474,406,68,241893.49,58,Other,Engineer,290922,76.83,43.78,9.27
Thane,Maharashtra,2022,Hacking,163,112,51,2618220.61,66,Male,Engineer,10417716,69.36,30.35,11.47
New Delhi,Delhi,2022,Online Harassment,399,137,262,1289339.97,36,Male,Unemployed,9834219,64.85,65.89,5.0
Dwarka,Delhi,2023,Identity Theft,291,134,157,2403958.75,46,Male,Doctor,7269055,80.43,60.41,8.4
Rohini,Delhi,2022,Phishing,318,33,285,1902213.24,19,Other,Engineer,405713,70.23,44.4,7.93
Saket,Delhi,2024,Cyberstalking,485,122,363,4848421.05,20,Male,Doctor,10143599,65.05,32.76,8.07
Karol Bagh,Delhi,2023,Data Breach,64,7,57,4589054.18,63,Male,Freelancer,18852294,70.27,83.74,11.46
Bengaluru,Karnataka,2023,Hacking,413,221,192,4177928.89,49,Other,Freelancer,2982967,84.14,85.58,8.34
Mysuru,Karnataka,2023,Cyberstalking,298,213,85,670421.08,70,Male,Business,5759010,86.89,59.54,9.93
Mangaluru,Karnataka,2024,Financial Fraud,39,5,34,3458131.18,34,Male,Student,1025068,78.45,86.87,5.44
Hubli,Karnataka,2024,Cyberstalking,118,6,112,1965173.49,21,Male,Unemployed,13927107,79.51,80.7,5.25
Belgaum,Karnataka,2022,Identity Theft,464,77,387,4466643.33,68,Other,Student,1461166,70.85,84.57,11.42
Chennai,Tamil Nadu,2023,Online Harassment,224,144,80,169091.2,68,Male,Business,19741863,85.92,69.49,2.87
Coimbatore,Tamil Nadu,2024,Phishing,478,132,346,672527.02,18,Female,Unemployed,7119429,89.39,83.38,10.29
Madurai,Tamil Nadu,2024,Hacking,179,32,147,1963358.79,25,Male,Business,9967360,64.05,43.84,3.92
Tiruchirappalli,Tamil Nadu,2024,Phishing,451,89,362,3432475.68,19,Male,Teacher,16166815,86.19,30.9,3.42
Salem,Tamil Nadu,2022,Identity Theft,287,71,216,1031620.33,66,Male,Freelancer,5885926,76.4,70.15,9.42
Lucknow,Uttar Pradesh,2023,Hacking,469,27,442,4474706.62,69,Other,Teacher,5665389,77.76,53.59,2.36
Kanpur,Uttar Pradesh,2022,Ransomware,61,19,42,1162516.48,68,Female,Teacher,10264503,80.47,36.74,9.52
Ghaziabad,Uttar Pradesh,2024,Cyberstalking,440,157,283,4132157.35,57,Female,Unemployed,9658373,82.78,67.57,9.23
Varanasi,Uttar Pradesh,2022,Data Breach,38,17,21,4092410.18,28,Male,Government Employee,18421847,87.21,60.05,5.6
Agra,Uttar Pradesh,2024,Identity Theft,130,87,43,65898.35,70,Female,Doctor,5150248,72.62,80.29,8.64
Kolkata,West Bengal,2024,Online Harassment,323,32,291,4827234.54,56,Female,Teacher,14922168,92.72,44.29,2.67
Howrah,West Bengal,2024,Data Breach,366,271,95,1936086.84,70,Female,Government Employee,13571701,87.15,50.46,8.58
Durgapur,West Bengal,2022,Cyberstalking,14,10,4,2680351.02,38,Male,Business,16690764,93.38,70.45,7.77
Asansol,West Bengal,2024,Cyberstalking,240,152,88,1879394.6,28,Male,Business,13344393,71.39,62.77,8.83
Siliguri,West Bengal,2024,Financial Fraud,140,111,29,610845.59,25,Male,Engineer,8954035,61.42,57.21,11.05
Ahmedabad,Gujarat,2022,Online Harassment,19,0,19,2276081.92,43,Male,Freelancer,2060170,63.5,31.87,9.25
Surat,Gujarat,2024,Data Breach,407,56,351,4279525.78,43,Male,Business,19004070,75.06,40.51,5.68
Vadodara,Gujarat,2022,Data Breach,445,315,130,3941455.47,70,Female,Teacher,3463522,77.3,49.64,10.17
Rajkot,Gujarat,2024,Ransomware,61,50,11,965400.24,57,Male,Business,822565,91.42,68.46,2.47
Bhavnagar,Gujarat,2022,Identity Theft,303,101,202,2495367.02,60,Female,Engineer,17935917,67.98,32.3,2.45
Jaipur,Rajasthan,2022,Hacking,498,382,116,1373459.3,57,Other,Unemployed,12531416,94.33,59.3,9.03
Jodhpur,Rajasthan,2024,Online Harassment,455,69,386,4580634.86,37,Male,Student,5421825,88.16,48.65,3.11
Udaipur,Rajasthan,2023,Cyberstalking,456,272,184,3560072.98,34,Male,Freelancer,7852359,92.9,72.57,10.75
Kota,Rajasthan,2023,Hacking,342,302,40,4653346.62,46,Other,Freelancer,6718303,81.62,81.51,3.51
Ajmer,Rajasthan,2023,Identity Theft,434,41,393,4187119.23,66,Female,Unemployed,237085,87.66,78.77,10.67
Patna,Bihar,2022,Data Breach,15,9,6,1134633.92,54,Female,Engineer,12185518,91.65,63.74,7.12
Gaya,Bihar,2022,Ransomware,274,240,34,1498968.76,29,Male,Unemployed,6971256,63.9,45.79,11.25
Muzaffarpur,Bihar,2022,Phishing,126,125,1,149558.2,49,Male,Student,7501819,81.25,34.21,8.43
Bhagalpur,Bihar,2022,Hacking,186,95,91,4872971.47,44,Other,Freelancer,5694439,62.51,54.98,4.15
Purnia,Bihar,2024,Online Harassment,388,376,12,4725953.05,29,Male,Government Employee,7206319,70.54,45.65,9.53
Bhopal,Madhya Pradesh,2023,Identity Theft,466,181,285,154215.85,47,Male,Teacher,18659436,65.09,68.11,7.58
Indore,Madhya Pradesh,2023,Financial Fraud,129,117,12,3282067.96,52,Female,Student,16511215,67.9,79.82,3.44
Jabalpur,Madhya Pradesh,2023,Financial Fraud,167,97,70,1155138.23,36,Female,Doctor,17969326,70.69,78.88,10.17
Gwalior,Madhya Pradesh,2022,Hacking,100,6,94,1085935.15,70,Male,Teacher,17675242,67.8,39.29,3.27
Ujjain,Madhya Pradesh,2022,Online Harassment,322,133,189,1233376.2,23,Female,Business,1003356,65.6,51.15,7.5
Mumbai,Maharashtra,2024,Cyberstalking,144,93,51,2820561.56,18,Male,Teacher,8366573,64.22,60.46,7.04
Pune,Maharashtra,2024,Online Harassment,379,274,105,3662356.18,67,Female,Engineer,8544560,68.25,60.97,9.1
Nagpur,Maharashtra,2023,Data Breach,259,136,123,4522486.62,17,Other,Business,9447770,77.41,35.47,10.67
Nashik,Maharashtra,2024,Financial Fraud,379,103,276,4142544.58,24,Female,Student,13687800,65.24,34.3,4.85
Thane,Maharashtra,2023,Financial Fraud,128,55,73,1787929.66,43,Male,Teacher,15890678,62.06,81.75,5.22
New Delhi,Delhi,2023,Ransomware,107,37,70,3170282.39,22,Female,Engineer,11911447,76.22,57.26,3.11
Dwarka,Delhi,2024,Phishing,392,230,162,4580443.6,51,Male,Doctor,6374997,81.67,55.73,5.61
Rohini,Delhi,2024,Identity Theft,369,53,316,3212318.0,21,Other,Student,17246628,86.51,85.22,9.68
Saket,Delhi,2023,Online Harassment,172,168,4,2290466.28,38,Female,Government Employee,19562064,82.77,66.25,11.96
Karol Bagh,Delhi,2022,Hacking,229,222,7,992043.8,29,Female,Teacher,13991064,70.1,76.45,5.74
Bengaluru,Karnataka,2022,Hacking,67,23,44,535562.44,40,Male,Student,16795239,62.1,81.84,8.08
Mysuru,Karnataka,2023,Data Breach,422,10,412,1323744.12,64,Other,Freelancer,7329796,65.22,33.97,3.77
Mangaluru,Karnataka,2023,Identity Theft,492,254,238,1442698.38,31,Other,Business,6763816,73.85,59.43,5.26
Hubli,Karnataka,2022,Financial Fraud,214,4,210,2625489.48,34,Male,Doctor,17081229,80.73,78.28,9.81
Belgaum,Karnataka,2024,Data Breach,401,351,50,2946424.74,32,Other,Freelancer,9432828,76.64,77.34,11.37
Chennai,Tamil Nadu,2023,Data Breach,327,172,155,4345846.63,25,Male,Government Employee,9816223,65.23,78.16,3.34
Coimbatore,Tamil Nadu,2023,Hacking,442,41,401,4776282.82,49,Other,Doctor,13790517,85.71,33.69,4.09
Madurai,Tamil Nadu,2022,Financial Fraud,221,99,122,2224403.68,26,Male,Engineer,15404217,82.72,84.84,11.88
Tiruchirappalli,Tamil Nadu,2024,Online Harassment,425,34,391,1527448.44,46,Female,Doctor,859354,86.88,50.5,10.92
Salem,Tamil Nadu,2023,Ransomware,311,233,78,3011114.53,59,Female,Doctor,15491508,73.96,77.53,4.73
Lucknow,Uttar Pradesh,2024,Ransomware,347,25,322,3778744.53,29,Male,Student,15676422,80.63,86.88,3.73
Kanpur,Uttar Pradesh,2024,Data Breach,337,284,53,2929882.74,19,Female,Unemployed,6913669,83.25,51.9,6.19
Ghaziabad,Uttar Pradesh,2024,Cyberstalking,48,6,42,2542878.09,44,Other,Engineer,12936074,64.97,68.56,10.61
Varanasi,Uttar Pradesh,2024,Hacking,234,56,178,1675374.24,58,Male,Student,11903613,89.57,77.8,8.37
Agra,Uttar Pradesh,2023,Data Breach,163,76,87,3914809.56,41,Other,Government Employee,116870,61.29,47.65,8.17
Kolkata,West Bengal,2023,Hacking,397,340,57,3826866.87,52,Male,Teacher,13427327,87.15,86.02,8.51
Howrah,West Bengal,2023,Ransomware,452,78,374,4543214.32,59,Other,Student,18324576,75.57,83.24,3.33
Durgapur,West Bengal,2023,Ransomware,128,109,19,3675178.44,46,Female,Freelancer,7790007,81.82,53.14,10.64
Asansol,West Bengal,2022,Hacking,132,103,29,106781.58,65,Female,Government Employee,12390836,60.39,30.54,7.59
Siliguri,West Bengal,2022,Data Breach,498,261,237,1195603.1,47,Other,Student,3329086,62.32,49.04,3.49
Ahmedabad,Gujarat,2024,Cyberstalking,12,12,0,4928638.32,56,Female,Student,16735950,76.92,68.48,7.81
Surat,Gujarat,2024,Ransomware,73,66,7,912170.0,41,Other,Engineer,13948520,74.92,32.41,3.71
Vadodara,Gujarat,2024,Phishing,77,71,6,179350.17,25,Male,Business,9921144,89.43,55.99,11.72
Rajkot,Gujarat,2023,Identity Theft,57,30,27,3509640.88,38,Other,Freelancer,13404432,74.32,40.99,6.03
Bhavnagar,Gujarat,2023,Phishing,162,55,107,2745226.39,48,Male,Teacher,19205790,66.14,89.14,8.74
Jaipur,Rajasthan,2024,Online Harassment,22,19,3,2910665.55,22,Male,Freelancer,2656644,75.93,75.97,7.76
Jodhpur,Rajasthan,2023,Hacking,237,225,12,1517627.01,43,Male,Government Employee,19104771,79.35,45.71,2.55
Udaipur,Rajasthan,2024,Hacking,23,23,0,4071903.28,35,Female,Unemployed,5229152,61.68,67.22,6.33
Kota,Rajasthan,2023,Identity Theft,422,72,350,2956608.06,41,Female,Business,15865069,63.88,66.25,11.37
Ajmer,Rajasthan,2024,Ransomware,219,138,81,265443.69,29,Other,Engineer,1594137,61.01,34.75,6.48
Patna,Bihar,2023,Hacking,215,98,117,4710137.88,17,Male,Doctor,5423825,60.48,68.9,4.5
Gaya,Bihar,2024,Ransomware,167,33,134,1125029.36,25,Male,Teacher,11581272,71.19,38.46,8.02
Muzaffarpur,Bihar,2022,Cyberstalking,143,86,57,3290379.64,40,Male,Engineer,5011666,85.93,83.66,3.69
Bhagalpur,Bihar,2023,Phishing,305,129,176,574260.57,27,Other,Freelancer,11233669,69.13,39.56,8.95
Purnia,Bihar,2022,Hacking,407,199,208,1631517.41,60,Other,Teacher,14203751,70.61,66.12,5.24
Bhopal,Madhya Pradesh,2024,Cyberstalking,218,37,181,2580612.72,54,Female,Government Employee,16526710,65.34,88.11,8.64
Indore,Madhya Pradesh,2022,Financial Fraud,156,50,106,4283120.29,40,Male,Business,7979986,88.41,60.61,11.47
Jabalpur,Madhya Pradesh,2024,Online Harassment,241,10,231,3018583.16,52,Male,Freelancer,19354000,85.52,62.83,7.52
Gwalior,Madhya Pradesh,2022,Data Breach,413,241,172,403735.16,31,Female,Student,16657599,63.37,36.27,8.6
Ujjain,Madhya Pradesh,2023,Ransomware,286,27,259,4389113.37,39,Other,Unemployed,17322054,70.99,85.68,3.89
Mumbai,Maharashtra,2022,Cyberstalking,339,235,104,3990253.64,45,Other,Student,11335879,66.69,70.28,9.43
Pune,Maharashtra,2023,Financial Fraud,378,354,24,2559966.35,68,Other,Government Employee,7172511,85.56,45.1,3.81
Nagpur,Maharashtra,2024,Hacking,338,27,311,1187937.51,62,Female,Unemployed,6863711,68.12,60.83,10.67
Nashik,Maharashtra,2023,Financial Fraud,141,49,92,866684.74,64,Other,Freelancer,10533085,82.25,37.39,2.08
Thane,Maharashtra,2023,Cyberstalking,492,105,387,4079596.61,15,Male,Freelancer,12272905,79.12,40.44,11.08
New Delhi,Delhi,2022,Data Breach,142,124,18,2643202.04,54,Male,Business,5660995,91.4,33.82,4.85
Dwarka,Delhi,2024,Online Harassment,213,119,94,1608484.16,46,Male,Doctor,10676767,62.96,67.68,3.09
Rohini,Delhi,2023,Financial Fraud,243,237,6,989923.1,20,Male,Business,7637628,65.24,73.76,6.58
Saket,Delhi,2022,Online Harassment,252,207,45,3493158.93,40,Male,Unemployed,9239799,61.7,49.65,9.12
Karol Bagh,Delhi,2024,Phishing,30,24,6,1694258.99,39,Other,Business,4203515,89.95,39.36,4.1
Bengaluru,Karnataka,2022,Ransomware,299,251,48,4059552.43,31,Male,Teacher,6158704,73.44,73.1,2.06
Mysuru,Karnataka,2024,Financial Fraud,421,404,17,4175044.21,18,Other,Doctor,4462167,81.47,42.13,7.9
Mangaluru,Karnataka,2022,Financial Fraud,401,114,287,1074046.02,44,Male,Business,10851231,87.58,32.49,8.48
Hubli,Karnataka,2024,Ransomware,18,15,3,863617.25,34,Male,Student,13812794,64.88,57.45,9.72
Belgaum,Karnataka,2023,Financial Fraud,80,73,7,1877302.51,22,Other,Unemployed,4945450,78.79,50.15,7.43
Chennai,Tamil Nadu,2023,Data Breach,71,48,23,4525607.67,17,Other,Doctor,15916083,77.96,41.77,9.3
Coimbatore,Tamil Nadu,2023,Hacking,427,214,213,3901950.66,38,Other,Freelancer,3257290,64.67,80.42,11.92
Madurai,Tamil Nadu,2023,Identity Theft,486,162,324,3932433.1,25,Male,Engineer,1244896,84.38,65.8,5.31
Tiruchirappalli,Tamil Nadu,2022,Ransomware,448,56,392,1704223.49,66,Female,Unemployed,18624614,83.97,66.8,9.54
Salem,Tamil Nadu,2022,Online Harassment,47,7,40,4987042.08,68,Male,Doctor,18048559,83.96,61.18,2.09
Lucknow,Uttar Pradesh,2022,Data Breach,292,166,126,3151938.33,31,Female,Freelancer,10771566,84.11,51.46,11.65
Kanpur,Uttar Pradesh,2022,Identity Theft,175,66,109,2726635.98,36,Other,Student,13035166,80.08,48.36,7.8
Ghaziabad,Uttar Pradesh,2024,Hacking,273,270,3,2722408.91,53,Other,Business,18327741,90.32,48.27,4.8
Varanasi,Uttar Pradesh,2022,Ransomware,29,4,25,3952505.97,52,Male,Government Employee,10367082,61.7,70.77,3.33
Agra,Uttar Pradesh,2024,Phishing,105,0,105,3986067.49,46,Female,Unemployed,6559384,61.79,87.34,7.03
Kolkata,West Bengal,2022,Identity Theft,127,5,122,855827.98,52,Male,Teacher,6856175,93.37,77.85,6.65
Howrah,West Bengal,2022,Identity Theft,82,72,10,2491261.97,23,Female,Teacher,18194432,70.77,72.32,3.44
Durgapur,West Bengal,2024,Hacking,311,53,258,3947718.85,24,Female,Teacher,8391089,64.9,51.45,9.57
Asansol,West Bengal,2024,Online Harassment,404,330,74,3913047.27,59,Male,Business,2700078,74.79,59.17,3.77
Siliguri,West Bengal,2022,Cyberstalking,353,57,296,487145.76,68,Female,Business,9161943,70.85,85.23,9.53
Ahmedabad,Gujarat,2022,Cyberstalking,356,152,204,3794562.37,59,Male,Student,2417201,73.61,62.04,10.8
Surat,Gujarat,2023,Financial Fraud,136,123,13,2448786.33,52,Other,Unemployed,7817008,60.52,67.19,8.31
Vadodara,Gujarat,2022,Online Harassment,334,201,133,101523.15,27,Female,Doctor,1963219,70.77,44.6,3.78
Rajkot,Gujarat,2024,Online Harassment,14,4,10,1551811.35,16,Male,Doctor,2577323,75.57,50.55,6.25
Bhavnagar,Gujarat,2024,Data Breach,470,335,135,3794375.05,27,Female,Engineer,9240376,71.8,79.45,2.85
Jaipur,Rajasthan,2024,Phishing,138,61,77,460447.95,25,Other,Freelancer,18039985,90.51,55.67,6.39
Jodhpur,Rajasthan,2023,Online Harassment,214,156,58,4836855.49,67,Other,Teacher,12894669,68.47,75.82,3.51
Udaipur,Rajasthan,2024,Online Harassment,277,48,229,2061908.95,68,Female,Teacher,2915284,90.94,83.92,8.6
Kota,Rajasthan,2022,Hacking,494,416,78,214489.38,63,Female,Freelancer,3842557,92.48,58.18,11.63
Ajmer,Rajasthan,2024,Cyberstalking,253,178,75,4117515.8,54,Male,Business,13133950,76.15,76.83,2.89
Patna,Bihar,2024,Ransomware,153,40,113,1702557.55,16,Other,Doctor,8027725,64.95,45.89,3.98
Gaya,Bihar,2023,Ransomware,446,320,126,3626433.67,60,Other,Unemployed,16512695,67.45,38.91,6.92
Muzaffarpur,Bihar,2023,Cyberstalking,319,84,235,3263833.05,30,Male,Doctor,10310109,93.19,85.59,2.72
Bhagalpur,Bihar,2023,Online Harassment,216,5,211,1820013.48,52,Male,Unemployed,8515494,92.3,31.62,5.66
Purnia,Bihar,2024,Ransomware,326,183,143,3348075.59,25,Female,Engineer,14461144,85.79,35.69,4.77
Bhopal,Madhya Pradesh,2022,Financial Fraud,89,43,46,2823885.63,18,Male,Government Employee,13200919,65.92,65.97,4.7
Indore,Madhya Pradesh,2023,Phishing,163,76,87,338557.81,24,Female,Engineer,9734543,65.13,70.64,5.15
Jabalpur,Madhya Pradesh,2022,Ransomware,46,25,21,321282.75,40,Female,Teacher,943844,90.75,31.62,3.6
Gwalior,Madhya Pradesh,2023,Ransomware,467,198,269,4860402.83,15,Female,Teacher,2458240,89.41,67.0,6.81
Ujjain,Madhya Pradesh,2024,Data Breach,246,72,174,2414815.77,39,Other,Teacher,16591172,76.53,58.89,9.88
Mumbai,Maharashtra,2023,Cyberstalking,468,131,337,885927.7,47,Female,Engineer,5961067,89.63,70.03,8.4
Pune,Maharashtra,2022,Cyberstalking,396,376,20,2548104.45,42,Male,Doctor,9431387,89.21,64.99,10.67
Nagpur,Maharashtra,2024,Hacking,239,155,84,2857840.2,69,Female,Engineer,19606473,70.91,81.24,6.07
Nashik,Maharashtra,2024,Financial Fraud,100,58,42,1767582.54,20,Other,Student,9924999,91.95,63.54,6.72
Thane,Maharashtra,2022,Cyberstalking,175,133,42,4687043.19,47,Female,Engineer,1063341,73.24,39.58,6.6
